     0/299    0.526G    0.1122   0.04772   0.03943    0.1994        29       640  0.009847   0.08515  0.005481 0.0008156   0.09071   0.04862    0.0357
     1/299     0.52G   0.08529   0.05491   0.03434    0.1745        30       640    0.4786     0.219    0.1203   0.02079   0.07286   0.04519   0.03026
     2/299     0.52G   0.08286   0.04454   0.03055    0.1579        16       640    0.1745    0.4709    0.1754   0.03081   0.08887   0.03279   0.02695
     3/299     0.52G   0.08631   0.03992   0.02689    0.1531        22       640    0.2828    0.5382    0.3513   0.08599   0.07496   0.03067   0.02025
     4/299     0.52G   0.07669   0.03843   0.02208    0.1372        13       640    0.2444    0.4635    0.2584   0.05333   0.08019   0.02813   0.01563
     5/299     0.52G   0.07036   0.03538   0.01891    0.1246        13       640    0.4873    0.6811    0.5386    0.1724   0.05939   0.02669   0.01278
     6/299     0.52G   0.06572   0.03564   0.01706    0.1184        10       640     0.503    0.7438    0.6394    0.2023   0.06233   0.02648   0.01177
     7/299     0.52G   0.05968   0.03409   0.01491    0.1087        19       640    0.6179    0.7666    0.7204    0.2932   0.05156   0.02505   0.01001
     8/299     0.52G   0.05564   0.03248   0.01323    0.1013        11       640    0.8209      0.82    0.8741    0.3688   0.04786    0.0245  0.008995
     9/299     0.52G   0.05132   0.03207   0.01242   0.09582         9       640    0.7825    0.8309    0.8603    0.3682   0.04484   0.02349  0.008291
    10/299     0.52G   0.05298   0.03193   0.01195   0.09686         8       640    0.8348    0.8441    0.9117    0.3629   0.04895   0.02245  0.007956
    11/299     0.52G   0.05018   0.02961   0.01122     0.091        34       640    0.8715    0.8915    0.9363    0.4385   0.04229   0.02243  0.007726
    12/299     0.52G   0.04939   0.02981   0.01032   0.08952        12       640    0.8447    0.9098    0.9417    0.4853   0.04098   0.02193  0.007388
    13/299     0.52G   0.04557   0.02806  0.009879   0.08351        28       640    0.8419    0.9124    0.9342    0.4863   0.04309   0.02095  0.007004
    14/299     0.52G   0.04614   0.02974   0.01042    0.0863        13       640    0.8722    0.9112    0.9309     0.464    0.0426   0.02107  0.006967
    15/299     0.52G   0.04518    0.0283  0.009762   0.08325        18       640    0.9378    0.9284    0.9724    0.5785   0.03616   0.02031  0.006593
    16/299     0.52G   0.04569   0.02846  0.009936   0.08409        12       640    0.9078    0.9395    0.9653     0.533   0.03813   0.02019  0.006441
    17/299     0.52G   0.04642    0.0274  0.009352   0.08317        24       640    0.9129    0.9003    0.9544    0.5483   0.03762   0.02008  0.006479
    18/299     0.52G   0.04521    0.0275  0.009505   0.08222        39       640    0.9318    0.9477    0.9741     0.503    0.0386    0.0195  0.006157
    19/299     0.52G   0.04446   0.02778  0.009294   0.08153        13       640    0.8533    0.9344    0.9577    0.5431   0.03792   0.01975  0.006271
    20/299     0.52G   0.04188   0.02692  0.008886   0.07768        23       640    0.9601    0.9486    0.9827    0.5941   0.03353   0.01926  0.006001
    21/299     0.52G   0.04119   0.02718   0.00857   0.07694         9       640    0.9479    0.9508    0.9802    0.6074   0.03586   0.01898  0.005879
    22/299     0.52G   0.04161   0.02728  0.008482   0.07737        31       640    0.9301    0.9626    0.9781    0.6278   0.03328   0.01882   0.00576
    23/299     0.52G   0.04089   0.02584  0.008703   0.07544        20       640     0.938    0.9235    0.9778    0.6381   0.03229   0.01857   0.00572
    24/299     0.52G   0.04119   0.02537   0.00842   0.07499         7       640    0.9601    0.9437    0.9851    0.6254   0.03392   0.01873  0.005745
    25/299     0.52G   0.04135   0.02735   0.00861   0.07732        10       640     0.901    0.9503    0.9717    0.6167   0.03452   0.01884  0.005605
    26/299     0.52G   0.04001   0.02657  0.008228   0.07481        23       640    0.9244     0.956    0.9726    0.6247   0.03363   0.01831  0.005584
    27/299     0.52G   0.03873   0.02559  0.008277   0.07259        27       640    0.9473    0.9691    0.9842    0.6522   0.03207   0.01817    0.0056
    28/299     0.52G   0.03856   0.02582  0.007671   0.07205        31       640    0.9413    0.9609    0.9835    0.6123   0.03258   0.01829  0.005501
    29/299     0.52G   0.03905   0.02591  0.007821   0.07278        14       640    0.9626    0.9687    0.9881    0.6673   0.03099   0.01795  0.005466
    30/299     0.52G   0.03923   0.02506  0.007708     0.072        27       640    0.9224    0.9653    0.9807    0.6612   0.03213    0.0184  0.005501
    31/299     0.52G   0.03916   0.02486  0.007593   0.07161        28       640    0.9708    0.9637    0.9881    0.6014   0.03384   0.01807  0.005381
    32/299     0.52G   0.03854     0.025  0.007512   0.07106        13       640    0.9712    0.9688    0.9895    0.6908   0.03007   0.01751  0.005194
    33/299     0.52G   0.03779   0.02571  0.007947   0.07145        21       640    0.9702    0.9632    0.9865    0.6701   0.03102   0.01764  0.005232
    34/299     0.52G   0.03904   0.02542  0.007569   0.07203        20       640    0.9486    0.9792    0.9883    0.6699   0.03137   0.01766  0.005282
    35/299     0.52G   0.03614    0.0236   0.00759   0.06733        14       640    0.9648    0.9776    0.9891     0.672   0.03016   0.01747  0.005284
    36/299     0.52G   0.03681   0.02479  0.007623   0.06922        32       640     0.939    0.9867    0.9878    0.6392   0.03151   0.01746  0.005236
    37/299     0.52G   0.03601   0.02329  0.007588   0.06689         7       640    0.9635    0.9767    0.9882    0.6923    0.0294    0.0172  0.005072
    38/299     0.52G    0.0379   0.02401  0.007432   0.06934        14       640    0.9589    0.9738    0.9882    0.6974   0.03028   0.01711  0.005121
    39/299     0.52G   0.03514   0.02301  0.007184   0.06533         8       640    0.9563    0.9691     0.989    0.7185   0.02819   0.01694  0.005155
    40/299     0.52G   0.03588   0.02393  0.007789    0.0676        18       640    0.9566    0.9729    0.9863    0.6913   0.02981    0.0171  0.005066
    41/299     0.52G   0.03573   0.02387  0.007265   0.06687        19       640    0.9675    0.9821    0.9893    0.7096   0.02808   0.01689  0.005018
    42/299     0.52G   0.03498   0.02301  0.007448   0.06544        10       640    0.9657    0.9854    0.9911    0.7279    0.0283   0.01674  0.005115
    43/299     0.52G   0.03687   0.02413   0.00741   0.06841        24       640    0.9638    0.9719    0.9876    0.6733   0.03067   0.01698  0.004948
    44/299     0.52G   0.03597   0.02323  0.007499   0.06669        32       640    0.9585    0.9744    0.9872    0.7346    0.0277   0.01678  0.005038
    45/299     0.52G   0.03396   0.02291  0.006952   0.06382        22       640    0.9657    0.9831    0.9909    0.7241   0.02759   0.01653    0.0049
    46/299     0.52G   0.03403   0.02341  0.007168   0.06461        25       640    0.9711    0.9811    0.9919    0.7059   0.02966   0.01639  0.004926
    47/299     0.52G    0.0346   0.02265  0.007247    0.0645        23       640    0.9612    0.9706    0.9894    0.6892   0.02924   0.01659   0.00481
    48/299     0.52G   0.03543   0.02317  0.007034   0.06563        26       640    0.9759    0.9782    0.9922    0.7327   0.02751   0.01632  0.004864
    49/299     0.52G   0.03538   0.02266  0.006995   0.06503        12       640    0.9766    0.9815    0.9921    0.7391   0.02785   0.01616  0.004785
    50/299     0.52G   0.03491    0.0223  0.006986    0.0642        17       640    0.9654    0.9852    0.9916    0.7183   0.02812   0.01661  0.004878
    51/299     0.52G     0.034   0.02306  0.006977   0.06404        11       640    0.9687    0.9764    0.9907    0.7218   0.02786   0.01615  0.004855
    52/299     0.52G    0.0342   0.02268  0.007429   0.06431        27       640    0.9745    0.9879    0.9925    0.7513   0.02699   0.01596  0.004862
    53/299     0.52G   0.03248   0.02113  0.006766   0.06037        14       640    0.9728    0.9843    0.9912    0.7301   0.02701    0.0161  0.004785
    54/299     0.52G    0.0335   0.02278  0.007022    0.0633         3       640    0.9751    0.9804    0.9916    0.7433   0.02705   0.01615  0.004881
    55/299     0.52G   0.03321   0.02269  0.007126   0.06303        13       640    0.9704    0.9839    0.9924    0.7429   0.02642   0.01577  0.004773
    56/299     0.52G   0.03332   0.02214  0.007008   0.06246        28       640    0.9796    0.9834    0.9932    0.7453   0.02636   0.01566  0.004655
    57/299     0.52G   0.03193   0.02279  0.006666   0.06138        15       640    0.9826    0.9783    0.9933    0.7396   0.02689   0.01584  0.004734
    58/299     0.52G   0.03376   0.02177  0.006841   0.06237        13       640    0.9782    0.9817    0.9926    0.7328   0.02661   0.01576  0.004857
    59/299     0.52G   0.03496   0.02304   0.00684   0.06483        20       640    0.9798    0.9817    0.9904    0.7369   0.02735   0.01573  0.004756
    60/299     0.52G    0.0333   0.02315  0.006958   0.06341        36       640    0.9771    0.9855    0.9922    0.7463   0.02608   0.01555  0.004653
    61/299     0.52G   0.03233   0.02149  0.006661   0.06048         7       640    0.9797    0.9859    0.9922    0.7447   0.02586   0.01568   0.00481
    62/299     0.52G   0.03166   0.02202     0.007   0.06068        31       640    0.9784     0.987    0.9936    0.7558   0.02609   0.01531  0.004628
    63/299     0.52G   0.03278   0.02128  0.006818   0.06087        23       640    0.9873    0.9815    0.9911    0.7506   0.02614   0.01569  0.004562
    64/299     0.52G   0.03409   0.02222  0.006769   0.06308         8       640     0.984    0.9803    0.9926     0.726   0.02744   0.01594   0.00477
    65/299     0.52G   0.03288    0.0225  0.006533   0.06191         7       640    0.9717    0.9793    0.9919    0.7613   0.02516   0.01522  0.004647
    66/299     0.52G   0.03124   0.02154  0.006633    0.0594        19       640    0.9671    0.9879    0.9931    0.7733   0.02489   0.01498  0.004554
    67/299     0.52G   0.03144   0.02185  0.006709   0.05999        10       640    0.9738    0.9864    0.9939    0.7719    0.0257   0.01494  0.004637
    68/299     0.52G   0.03125    0.0226  0.006532   0.06038        17       640    0.9776     0.988    0.9939    0.7623    0.0253   0.01509  0.004612
    69/299     0.52G   0.03252   0.02105  0.006878   0.06044        24       640    0.9783    0.9824    0.9935    0.7645   0.02585   0.01518  0.004546
    70/299     0.52G   0.03341   0.02227  0.006769   0.06245        20       640    0.9772    0.9868    0.9925    0.7765    0.0253   0.01497   0.00458
    71/299     0.52G   0.03237   0.02175  0.006722   0.06083        16       640    0.9767    0.9812    0.9934     0.768   0.02583   0.01487  0.004579
    72/299     0.52G   0.03051   0.02144   0.00649   0.05843        27       640    0.9767    0.9851    0.9925    0.7836   0.02478   0.01481  0.004577
    73/299     0.52G   0.03031   0.02092  0.006553   0.05778         9       640    0.9896    0.9744    0.9942     0.774   0.02444   0.01479  0.004442
    74/299     0.52G   0.03218    0.0214  0.006342   0.05992        14       640    0.9869    0.9796    0.9927    0.7686   0.02526   0.01477   0.00455
    75/299     0.52G   0.03116   0.02158  0.006482   0.05922        18       640    0.9752    0.9867    0.9935    0.7664   0.02499    0.0149  0.004565
    76/299     0.52G   0.03183   0.02134  0.006534   0.05971        14       640    0.9823    0.9819     0.993    0.7628   0.02527   0.01493  0.004519
    77/299     0.52G   0.03176   0.02108  0.006583   0.05942        22       640    0.9832     0.991    0.9943    0.7704   0.02571     0.015  0.004492
    78/299     0.52G   0.03043   0.02209  0.006191   0.05871        28       640    0.9855    0.9885    0.9946    0.7877   0.02401   0.01481  0.004445
    79/299     0.52G   0.03044   0.02097  0.006617   0.05803         8       640    0.9776    0.9853    0.9944    0.7742   0.02497   0.01466  0.004472
    80/299     0.52G   0.03145    0.0213  0.006361   0.05912        23       640     0.985     0.989    0.9946    0.7862   0.02412   0.01459  0.004549
    81/299     0.52G   0.03019   0.02168  0.006485   0.05835        37       640     0.982    0.9916    0.9946    0.7928   0.02407   0.01465  0.004533
