               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10061,            0.036503,            0.033151,          0.00096953,             0.14873,           0.0010255,          0.00024313,            0.096523,            0.020793,            0.030143,            0.070082,           0.0033242,           0.0033242
                   1,            0.094394,             0.03711,            0.027114,             0.73375,            0.092126,            0.047313,            0.012245,            0.092086,            0.024588,            0.027815,            0.040038,           0.0066136,           0.0066136
                   2,            0.079575,            0.033975,            0.019786,             0.23115,             0.37056,             0.19269,            0.064321,              0.0684,            0.019355,            0.010462,           0.0099501,            0.009859,            0.009859
                   3,            0.067231,            0.031422,             0.01054,             0.52224,             0.48458,             0.45994,             0.16191,            0.058853,            0.015372,           0.0057916,            0.009802,            0.009802,            0.009802
                   4,            0.059752,            0.029209,           0.0080543,             0.72523,             0.54901,             0.59182,             0.21293,            0.052821,            0.014206,           0.0050032,            0.009802,            0.009802,            0.009802
                   5,            0.056119,            0.027876,           0.0069705,             0.77225,             0.57283,             0.64993,             0.28336,            0.048299,            0.013676,           0.0034745,            0.009736,            0.009736,            0.009736
                   6,            0.053701,            0.027169,           0.0064179,             0.77222,             0.65453,             0.72806,              0.3671,            0.041213,            0.012714,           0.0031358,             0.00967,             0.00967,             0.00967
                   7,            0.051848,            0.026108,           0.0060434,             0.79037,             0.67405,             0.75137,             0.38206,            0.040569,            0.012813,           0.0030166,            0.009604,            0.009604,            0.009604
                   8,            0.050318,            0.025976,           0.0056775,             0.79018,             0.66804,             0.73677,             0.35562,            0.041261,            0.012196,           0.0032194,            0.009538,            0.009538,            0.009538
                   9,             0.04913,            0.025044,            0.005527,             0.81648,              0.7058,             0.77059,              0.3984,            0.039211,            0.012189,           0.0030571,            0.009472,            0.009472,            0.009472
                  10,            0.048123,            0.025452,           0.0052087,             0.82589,             0.70806,              0.7767,             0.40832,            0.038927,            0.011925,           0.0024135,            0.009406,            0.009406,            0.009406
                  11,            0.046794,            0.024453,           0.0049572,             0.82693,             0.72994,             0.78675,             0.44892,             0.03583,             0.01163,           0.0026782,             0.00934,             0.00934,             0.00934
                  12,            0.045787,            0.023919,           0.0047214,              0.7909,             0.75619,             0.80316,             0.44511,            0.036449,            0.011625,             0.00229,            0.009274,            0.009274,            0.009274
                  13,            0.045352,            0.023929,           0.0046852,             0.83986,             0.75148,             0.81348,             0.45561,            0.034801,            0.011187,           0.0021977,            0.009208,            0.009208,            0.009208
                  14,            0.044969,            0.023585,            0.004588,             0.85188,             0.75381,             0.81229,              0.4774,            0.033907,            0.011063,           0.0026766,            0.009142,            0.009142,            0.009142
                  15,            0.044302,            0.023513,           0.0045069,             0.86623,              0.7501,             0.82108,             0.47342,            0.033564,            0.011078,           0.0021851,            0.009076,            0.009076,            0.009076
                  16,            0.043519,            0.023101,           0.0041856,             0.90556,              0.7267,             0.82201,             0.49283,            0.032848,            0.010596,           0.0021376,             0.00901,             0.00901,             0.00901
                  17,            0.042911,            0.023079,           0.0039459,              0.8505,             0.76249,             0.83318,              0.4663,             0.03511,            0.010721,           0.0022122,            0.008944,            0.008944,            0.008944
                  18,            0.042726,            0.022922,           0.0041233,               0.888,             0.79484,             0.84749,             0.51468,            0.031805,             0.01041,           0.0018984,            0.008878,            0.008878,            0.008878
                  19,            0.042302,            0.022765,           0.0040869,             0.86986,              0.7885,             0.84871,             0.50617,            0.032247,            0.010314,           0.0022235,            0.008812,            0.008812,            0.008812
                  20,             0.04159,            0.022187,           0.0038655,             0.89773,             0.76419,             0.84609,             0.50404,            0.031962,            0.010434,           0.0022872,            0.008746,            0.008746,            0.008746
                  21,            0.041168,            0.022207,           0.0037143,             0.86496,             0.77507,             0.83413,             0.50772,            0.031451,            0.010362,           0.0020127,             0.00868,             0.00868,             0.00868
                  22,            0.041132,            0.022075,           0.0037257,              0.8948,             0.77507,             0.84545,             0.51055,            0.031745,            0.010182,           0.0029621,            0.008614,            0.008614,            0.008614
                  23,            0.040716,            0.021943,           0.0036919,             0.87086,             0.80835,             0.86956,             0.52597,            0.031052,            0.010192,           0.0019251,            0.008548,            0.008548,            0.008548
                  24,            0.040647,            0.022172,           0.0036512,             0.90215,             0.77548,             0.86118,             0.52907,            0.030486,            0.010083,           0.0021803,            0.008482,            0.008482,            0.008482
                  25,            0.040358,            0.021567,           0.0036475,             0.85815,             0.82892,             0.86911,             0.53875,            0.030089,           0.0098445,           0.0020999,            0.008416,            0.008416,            0.008416
                  26,            0.039743,            0.021554,           0.0035149,             0.85334,             0.82097,             0.87245,             0.54048,            0.029676,           0.0099269,            0.001796,             0.00835,             0.00835,             0.00835
                  27,            0.039567,            0.021223,           0.0035536,             0.91711,             0.79629,              0.8739,             0.54671,            0.029482,           0.0096642,           0.0016962,            0.008284,            0.008284,            0.008284
                  28,            0.039203,            0.021308,           0.0034586,             0.90621,             0.82607,             0.87819,             0.52563,            0.031347,           0.0097919,           0.0018901,            0.008218,            0.008218,            0.008218
                  29,            0.039137,            0.021141,           0.0034601,             0.87546,             0.80457,             0.86036,             0.52814,            0.029914,           0.0098862,           0.0017225,            0.008152,            0.008152,            0.008152
                  30,            0.038786,            0.020978,           0.0033952,             0.89258,               0.811,             0.87367,              0.5535,             0.02906,           0.0095486,           0.0016006,            0.008086,            0.008086,            0.008086
                  31,            0.038649,            0.021329,           0.0033493,             0.88838,             0.83133,             0.88382,             0.55719,            0.028702,           0.0095034,           0.0017329,             0.00802,             0.00802,             0.00802
                  32,             0.03815,            0.020744,           0.0032635,             0.90648,             0.79542,             0.87129,             0.55569,            0.028672,           0.0095826,           0.0018159,            0.007954,            0.007954,            0.007954
                  33,            0.038238,            0.020911,           0.0033236,             0.89737,              0.8366,             0.88908,             0.56352,            0.028509,           0.0093749,           0.0019571,            0.007888,            0.007888,            0.007888
                  34,            0.038287,            0.020524,           0.0034194,             0.88687,             0.81761,             0.88402,             0.57003,            0.027925,           0.0094664,           0.0018716,            0.007822,            0.007822,            0.007822
                  35,            0.037883,            0.020697,           0.0032384,             0.89118,             0.83084,              0.8881,             0.55625,            0.029064,           0.0094442,           0.0017391,            0.007756,            0.007756,            0.007756
                  36,            0.037771,            0.020677,           0.0032264,              0.8714,             0.82803,             0.89031,             0.56234,            0.028241,            0.009301,           0.0016371,             0.00769,             0.00769,             0.00769
                  37,            0.037593,            0.020497,           0.0032174,             0.89594,             0.81332,             0.88211,             0.56962,             0.02747,           0.0094474,           0.0016678,            0.007624,            0.007624,            0.007624
                  38,            0.037165,            0.020379,           0.0030896,             0.91615,             0.82935,             0.89784,             0.57755,            0.027353,           0.0092002,           0.0017688,            0.007558,            0.007558,            0.007558
                  39,            0.037295,            0.020215,           0.0032013,             0.90437,             0.83739,             0.89901,             0.57943,            0.027366,           0.0091477,           0.0014863,            0.007492,            0.007492,            0.007492
                  40,            0.036984,             0.01993,           0.0030062,             0.88774,             0.83814,              0.8933,             0.58105,             0.02718,           0.0092337,           0.0015751,            0.007426,            0.007426,            0.007426
                  41,            0.036366,            0.020091,           0.0028999,             0.91185,             0.84401,             0.90012,             0.57407,            0.027084,           0.0090536,           0.0016648,             0.00736,             0.00736,             0.00736
                  42,            0.036331,            0.020239,           0.0029252,             0.90366,             0.83273,             0.89144,             0.58059,            0.026858,           0.0089804,           0.0017225,            0.007294,            0.007294,            0.007294
                  43,            0.036433,            0.020232,           0.0031103,             0.89924,             0.85539,             0.90039,             0.58138,            0.027144,           0.0091253,           0.0015477,            0.007228,            0.007228,            0.007228
                  44,            0.036245,            0.020239,           0.0031062,             0.87787,             0.85923,             0.89823,             0.57748,            0.026859,            0.009001,           0.0018098,            0.007162,            0.007162,            0.007162
                  45,            0.036116,            0.019887,               0.003,             0.90343,             0.86144,             0.90393,             0.58697,            0.026658,           0.0089941,           0.0018352,            0.007096,            0.007096,            0.007096
                  46,            0.036014,            0.019921,           0.0030108,             0.92386,             0.83143,             0.89737,             0.58871,             0.02644,           0.0088162,           0.0015331,             0.00703,             0.00703,             0.00703
                  47,            0.036103,            0.020081,            0.003071,             0.92262,             0.85086,             0.90533,             0.58606,            0.026396,           0.0088654,           0.0014264,            0.006964,            0.006964,            0.006964
                  48,            0.035487,            0.019866,           0.0029291,             0.89721,             0.84969,              0.8986,             0.58638,            0.026328,           0.0087947,           0.0015835,            0.006898,            0.006898,            0.006898
                  49,            0.035632,            0.020071,           0.0030094,             0.89169,             0.86344,             0.90176,             0.59798,            0.026033,           0.0087571,           0.0014406,            0.006832,            0.006832,            0.006832
                  50,            0.035525,            0.019716,           0.0029025,             0.88938,             0.86925,             0.90523,             0.59927,             0.02605,           0.0086718,           0.0016999,            0.006766,            0.006766,            0.006766
                  51,             0.03505,            0.019491,           0.0028882,             0.91493,             0.84384,             0.90804,             0.59603,            0.026363,           0.0087147,           0.0016452,              0.0067,              0.0067,              0.0067
                  52,            0.035385,            0.019574,           0.0029416,             0.92151,             0.83349,              0.9072,             0.60055,            0.026111,           0.0086483,           0.0014616,            0.006634,            0.006634,            0.006634
                  53,            0.035113,            0.019486,           0.0028049,              0.9071,             0.86496,             0.90506,             0.59983,            0.025836,           0.0085878,           0.0017682,            0.006568,            0.006568,            0.006568
                  54,            0.034881,             0.01932,           0.0028658,             0.91936,             0.86169,             0.91197,             0.60319,            0.025748,           0.0086048,            0.001581,            0.006502,            0.006502,            0.006502
                  55,            0.034664,             0.01939,           0.0028905,             0.89623,             0.86973,             0.91067,             0.60435,            0.025658,           0.0085695,            0.001604,            0.006436,            0.006436,            0.006436
                  56,            0.034711,            0.019302,            0.002892,              0.9064,             0.87091,             0.91676,             0.60627,            0.025725,           0.0085349,           0.0015515,             0.00637,             0.00637,             0.00637
                  57,            0.034567,            0.019291,            0.002782,             0.91622,             0.85766,             0.91646,             0.60268,            0.025591,           0.0085014,           0.0015774,            0.006304,            0.006304,            0.006304
                  58,            0.034554,            0.019207,           0.0027546,             0.92595,             0.84566,             0.91199,             0.60794,            0.025644,           0.0084589,           0.0015469,            0.006238,            0.006238,            0.006238
                  59,            0.034296,            0.019197,           0.0027315,             0.91614,             0.87453,             0.91638,             0.61038,            0.025467,           0.0085431,           0.0011987,            0.006172,            0.006172,            0.006172
                  60,            0.034062,            0.019075,           0.0028216,             0.90073,             0.87353,             0.91753,             0.60733,            0.025134,           0.0084631,           0.0012006,            0.006106,            0.006106,            0.006106
                  61,            0.034003,            0.019138,           0.0027835,               0.911,             0.86915,             0.92012,              0.6137,            0.025182,           0.0084496,            0.001153,             0.00604,             0.00604,             0.00604
                  62,            0.033991,            0.018934,           0.0027488,             0.92524,             0.85881,             0.91863,             0.61175,            0.025092,           0.0084756,           0.0012437,            0.005974,            0.005974,            0.005974
                  63,            0.033827,            0.019168,           0.0027422,             0.90581,             0.88146,             0.92052,             0.61771,            0.024689,           0.0082596,           0.0013225,            0.005908,            0.005908,            0.005908
                  64,            0.033612,            0.018837,           0.0026863,             0.90352,             0.87793,             0.91786,             0.61913,            0.024782,           0.0083393,            0.001382,            0.005842,            0.005842,            0.005842
                  65,            0.033494,            0.019052,            0.002618,             0.91126,             0.87793,             0.92439,             0.61691,            0.024879,           0.0082757,           0.0013257,            0.005776,            0.005776,            0.005776
                  66,            0.033415,            0.018941,           0.0026158,             0.91263,             0.87703,             0.92235,             0.62085,            0.024757,           0.0083288,           0.0014151,             0.00571,             0.00571,             0.00571
                  67,            0.033655,            0.018751,           0.0028245,             0.90956,               0.881,              0.9276,             0.62631,            0.024626,           0.0082122,           0.0013331,            0.005644,            0.005644,            0.005644
                  68,            0.033229,            0.018751,           0.0027265,             0.90533,             0.89078,             0.92696,             0.62911,            0.024235,           0.0081164,           0.0014133,            0.005578,            0.005578,            0.005578
                  69,            0.033305,            0.018469,           0.0026707,             0.90521,             0.87742,             0.92975,              0.6314,            0.024418,           0.0081746,           0.0012774,            0.005512,            0.005512,            0.005512
                  70,            0.032956,             0.01851,           0.0025582,             0.90539,             0.88457,             0.92442,             0.62347,            0.024386,           0.0081662,           0.0014394,            0.005446,            0.005446,            0.005446
                  71,            0.032726,            0.018335,           0.0025225,             0.89884,             0.89011,             0.93085,              0.6261,            0.024611,            0.008178,           0.0013935,             0.00538,             0.00538,             0.00538
                  72,            0.032531,            0.018272,           0.0025497,             0.92588,             0.88144,             0.92974,             0.62717,            0.024434,            0.008124,           0.0012788,            0.005314,            0.005314,            0.005314
                  73,            0.032715,            0.018623,           0.0025778,              0.9327,             0.85869,             0.92211,             0.62248,            0.024399,            0.008057,           0.0012627,            0.005248,            0.005248,            0.005248
                  74,            0.032825,            0.018642,           0.0026176,             0.91507,             0.88681,             0.92765,             0.63111,            0.024328,           0.0080006,           0.0013322,            0.005182,            0.005182,            0.005182
                  75,             0.03271,            0.018483,           0.0025875,             0.91912,             0.87931,             0.93135,             0.63521,               0.024,           0.0079957,           0.0012679,            0.005116,            0.005116,            0.005116
                  76,            0.032381,            0.018344,           0.0024133,             0.93361,             0.86576,             0.93251,             0.64065,            0.023805,           0.0079042,           0.0012666,             0.00505,             0.00505,             0.00505
                  77,            0.032441,            0.018321,           0.0026634,             0.92059,             0.87465,             0.93108,             0.63673,            0.023924,           0.0078648,           0.0013516,            0.004984,            0.004984,            0.004984
                  78,            0.032324,            0.018598,           0.0024446,             0.93028,             0.86767,             0.92591,             0.64119,            0.023805,           0.0079357,           0.0013872,            0.004918,            0.004918,            0.004918
                  79,            0.032334,            0.018325,           0.0025506,             0.93042,             0.87615,             0.93008,             0.63943,             0.02388,           0.0078667,            0.001376,            0.004852,            0.004852,            0.004852
                  80,            0.031746,            0.017988,           0.0025161,             0.92941,             0.88163,             0.93483,             0.63901,            0.023793,           0.0078766,           0.0013498,            0.004786,            0.004786,            0.004786
                  81,            0.032082,            0.018384,           0.0024436,             0.93106,             0.88309,              0.9315,             0.64356,            0.023808,           0.0078538,           0.0012595,             0.00472,             0.00472,             0.00472
                  82,            0.031879,            0.018025,           0.0025709,             0.93136,             0.86776,             0.93242,             0.63992,            0.023677,           0.0079025,           0.0013464,            0.004654,            0.004654,            0.004654
                  83,            0.031991,            0.018041,           0.0024774,             0.91636,             0.88668,             0.93489,             0.64156,            0.023601,           0.0079089,           0.0013517,            0.004588,            0.004588,            0.004588
                  84,             0.03174,            0.017908,           0.0024295,             0.91794,             0.89159,             0.92957,             0.64018,            0.023645,           0.0078798,           0.0013817,            0.004522,            0.004522,            0.004522
                  85,            0.031603,            0.018047,           0.0024271,             0.90853,              0.9034,             0.93882,             0.64961,            0.023492,           0.0078384,           0.0014048,            0.004456,            0.004456,            0.004456
